id,word,language,form,type,category,lexical_category,lexical_class,uni_lemma,aoa_in_seconds,aoa,lemma,stem_lemma
0,daddy (child's word),English (American),WG,word,people,other,other,daddy,29808000,345,daddy,daddy
1,mommy (child's word),English (American),WG,word,people,other,other,mommy,30240000,350,mommy,mommy
2,bye,English (American),WG,word,games_routines,other,other,bye,35164800,407,bye,bye
3,uh oh,English (American),WG,word,sounds,other,other,uh oh,36374400,421,uh oh,uh oh
4,hi,English (American),WG,word,games_routines,other,other,hi,37238400,431,hi,hi
5,ball,English (American),WG,word,toys,nouns,nouns,ball,37411200,433,ball,ball
6,dog,English (American),WG,word,animals,nouns,nouns,dog,38966400,451,dog,dog
7,no,English (American),WG,word,games_routines,other,other,no,39312000,455,no,no
8,woof woof,English (American),WG,word,sounds,other,other,woof woof,39916800,462,woof woof,woof woof
9,yum yum,English (American),WG,word,sounds,other,other,yum yum,41040000,475,yum yum,yum yum
10,baby,English (American),WG,word,people,other,other,baby,41212800,477,baby,baby
11,book,English (American),WG,word,toys,nouns,nouns,book,41990400,486,book,book
12,grrr,English (American),WG,word,sounds,other,other,grrr,42076800,487,grrr,grrr
13,moo,English (American),WG,word,sounds,other,other,moo,42076800,487,moo,moo
14,meow,English (American),WG,word,sounds,other,other,meow,42595200,493,meow,meow
15,banana,English (American),WG,word,food_drink,nouns,nouns,banana,42595200,493,banana,banana
16,vroom,English (American),WS,word,sounds,other,other,vroom,42595200,493,vroom,vroom
17,shoe,English (American),WG,word,clothing,nouns,nouns,shoe,42940800,497,shoe,shoe
18,duck,English (American),WS,word,animals,nouns,nouns,duck,43372800,502,duck,duck
19,bird,English (American),WS,word,animals,nouns,nouns,bird,43545600,504,bird,bird
20,eye,English (American),WS,word,body_parts,nouns,nouns,eye,43977600,509,eye,eye
21,nose,English (American),WS,word,body_parts,nouns,nouns,nose,44150400,511,nose,nose
22,balloon,English (American),WS,word,toys,nouns,nouns,balloon,44409600,514,balloon,balloon
23,ouch,English (American),WS,word,sounds,other,other,ouch,44496000,515,ouch,ouch
24,quack quack,English (American),WS,word,sounds,other,other,quack quack,44582400,516,quack quack,quack quack
25,car,English (American),WS,word,vehicles,nouns,nouns,car,44668800,517,car,car
26,hot,English (American),WS,word,descriptive_words,predicates,adjectives,hot,45014400,521,hot,hot
