"pos","word_type","child_entropy","child_count","adult_entropy","adult_count"
"a","awake+a",0,20,0,20
"a","back+a",0.830471712436292,14,0.980989682445315,18
"a","bad+a",1.56185365883074,49,1.30079630123545,51
"a","big+a",0.308175945678243,468,0.391668321503265,464
"a","black+a",0.568829928790249,47,0.664719141403559,47
"a","blue+a",0,214,0.0726463796998605,218
"a","brown+a",0,116,0.203560906170726,116
"a","careful+a",0,19,0,19
"a","clean+a",0,72,0.308909219948182,67
"a","close+a",0.918398724799311,23,0.787287656630395,28
"a","cold+a",0.129740694719428,35,0.219032521789021,35
"a","cute+a",0,4,0,4
"a","dark+a",0.562335144618808,44,0.773016634483711,47
"a","dirty+a",0.199896944329492,146,0.041917588986319,142
"a","dry+a",0.910518741826597,35,0.214559155176405,36
"a","empty+a",0,40,0,40
"a","fast+a",0.214559155176405,54,0.345596207246175,66
"a","fine+a",0,13,0.535961049709069,13
"a","first+a",0.348832095843032,27,1.14304269577234,29
"a","full+a",0.78129427842907,50,1.30654533979561,50
"a","gentle+a",0.636514168294813,9,0.686961576597323,9
"a","good+a",1.89942699970001,292,1.87507238071983,297
"a","green+a",0,80,0,80
"a","happy+a",0.63486280559225,157,0.406509594740576,164
"a","hard+a",0.735621939758795,24,0.60602520273573,25
"a","heavy+a",0.357524714037312,115,0.28629548902328,115
"a","high+a",0,93,0.230078491498468,89
"a","hot+a",0,197,0.23617890696679,199
"a","hungry+a",0,92,0,92
"a","inside+a",0.956044380967146,17,0.986123489711721,22
"a","little+a",1.48068922863128,337,1.53271687777395,321
"a","long+a",0.569637177096761,74,0.97135611399224,78
"a","loud+a",0,32,0,32
"a","mad+a",0.562335144618808,4,0.693147180559945,6
"a","naughty+a",0,137,0,137
"a","new+a",1.2390574464974,166,1.20540249899944,165
"a","nice+a",0.351406010149428,205,0.572252954718303,202
"a","noisy+a",0.48572257466444,58,0.149994923610415,58
"a","nuts+a",0,2,NA,0
"a","old+a",1.32909507100122,93,1.23784304715676,88
"a","open+a",1.41273423827061,38,1.46602652378203,56
"a","orange+a",0,64,0,88
"a","out+a",0,2,0,2
"a","outside+a",0.636514168294813,3,NA,0
"a","potty+a",NA,0,0,1
"a","present+a",0,2,0.693147180559945,2
"a","pretend+a",0,91,0,72
"a","pretty+a",0,22,0,22
"a","quiet+a",0.682908104700472,7,0.410116318288409,7
"a","red+a",0,200,0,206
"a","sad+a",0.220352331161548,43,0.623899575194572,43
"a","same+a",1.13735578331654,102,1.122862092609,101
"a","short+a",0.286835983056161,12,0.562335144618808,12
"a","sick+a",0.553266155663021,76,0.851921756102756,80
"a","sleepy+a",0,91,0,91
"a","slow+a",0,1,0,2
"a","soft+a",0.425848449238581,18,0.90174123295124,22
"a","thirsty+a",0,11,0,11
"a","tiny+a",0,77,0,78
"a","wet+a",0,26,0,26
"a","white+a",0.151689930278489,164,0.0362540490074078,169
"a","windy+a",0.295439191872116,23,0.158410570131791,27
"a","yellow+a",0,59,0,57
"a","yucky+a",0,24,0,29
"n","airplane+n",0,37,0,37
"n","alligator+n",0,14,0,13
"n","animal+n",0,205,0,205
"n","ankle+n",0,6,0,6
"n","ant+n",0,68,0,68
"n","apple+n",0.0383507834087114,316,0,332
"n","arm+n",0.58386674491247,109,0.454936950032935,109
"n","aunt+n",0,1,0,1
"n","baby+n",0.880403156111408,425,1.06147976253353,411
"n","back+n",1.71878240012314,38,1.45779757939683,37
"n","ball+n",1.02431677933607,419,1.0194189805169,420
"n","balloon+n",0.631978160868251,104,0.662756158845071,106
"n","banana+n",0.024901715029831,264,0.0248220402102695,265
"n","basket+n",0.0723777895161175,73,0.126930545341402,72
"n","bath+n",0.985930757320517,160,0.779258903940264,157
"n","bat+n",0.906396404717185,51,0.649248354870898,51
"n","beach+n",0,69,0,67
"n","bead+n",0.325082973391448,10,0,10
"n","bean+n",0.792916939917601,91,0.700004679682559,85
"n","bear+n",0,405,0.0299133428121922,425
"n","bed+n",0,281,0.0847780758114882,280
"n","bee+n",0,82,0,84
"n","belt+n",0,3,0,3
"n","bench+n",0,17,0,16
"n","bib+n",0.354051139344927,44,0.104732439105087,46
"n","bicycle+n",0,24,0,23
"n","bird+n",0.126677178814586,300,0.138323433178671,299
"n","bite+n",1.22524186432261,24,1.29114190224416,30
"n","black+n",0.32503435571457,138,0.392815409292502,112
"n","blanket+n",0.0922160573371918,108,0.0525693263147386,108
"n","block+n",0.66351872775754,133,0.550555394543668,128
"n","blow+n",0.753442461180238,19,0.380506218477596,21
"n","blue+n",0.174301537824614,119,0.158612031368449,126
"n","boat+n",0.128788880398324,212,0.145084308791065,212
"n","book+n",0.684703164733479,444,0.707790624557139,447
"n","boot+n",0.511740073417409,24,0.456334432293288,24
"n","bottle+n",0.58738537071251,124,0.756371256104064,127
"n","bowl+n",0.871676661824345,108,0.676115031609812,108
"n","box+n",0.112445565641484,268,0.0687585550603718,267
"n","boy+n",0.143217607945812,154,0.532854630475282,132
"n","bread+n",0,80,0,80
"n","breakfast+n",0,47,0,54
"n","broom+n",0,16,0,16
"n","brother+n",0,27,0,23
"n","bubble+n",0.131197810969511,69,0.286835983056161,72
"n","bucket+n",0.593800269094791,89,0.0610470380395934,90
"n","bug+n",0.220570036400177,52,0.815520120536266,47
"n","bump+n",0.164865453862413,62,0.745012066560541,66
"n","bunny+n",0.099623389466162,98,0.0569372244376318,98
"n","bus+n",0.0300923446103394,211,0,213
"n","butter+n",0,79,0.071584833692919,74
"n","butt+n",0,1,0,1
"n","button+n",1.28338283105492,85,1.2835598485908,93
"n","buy+n",0,7,0,19
"n","cake+n",0,225,0.0807910914459997,220
"n","camera+n",0.274921422433104,51,0.0950301172556463,52
"n","candy+n",0,16,0,17
"n","can+n",0,10,0,6
"n","car+n",0.240586988449612,414,0.231641990929046,412
"n","carrot+n",0.721888364223798,37,0.643663041128117,37
"n","cat+n",0.13351391944528,446,0.0616067104727896,445
"n","cereal+n",0,12,0,13
"n","chair+n",0,239,0,239
"n","chalk+n",0,22,0,22
"n","chase+n",0,7,0,4
"n","cheek+n",0.474139313057837,11,0.474139313057837,11
"n","cheese+n",0,320,0,319
"n","chicken+n",0.632230377778521,110,0.604311760058628,108
"n","child+n",0.291682911183638,82,0.340499778471299,84
"n","chin+n",0,13,0,17
"n","chip+n",0.723254511001112,24,0.983961446001026,26
"n","chocolate+n",0.215381829780259,151,0.297418362280646,153
"n","church+n",0.387212375186361,23,0.462036909466457,23
"n","circus+n",0.376770161256437,8,0.661563238157982,8
"n","clap+n",0,9,0.410116318288409,14
"n","clock+n",0,51,0,51
"n","closet+n",0,6,0,6
"n","cloud+n",0.325082973391448,20,0,19
"n","clown+n",0,89,0,90
"n","coat+n",0.0883197822000176,57,0.152005310836203,57
"n","coffee+n",0.0731901291558692,72,0.315958290228785,73
"n","coke+n",0,13,0,13
"n","cold+n",0.456334432293288,72,0.940992557112127,74
"n","comb+n",0.693147180559945,14,0,15
"n","cookie+n",0,136,0.123699856461985,131
"n","cook+n",0,9,0,18
"n","corn+n",0.89330300664425,42,1.03962407120136,41
"n","couch+n",0.257318640543832,14,0,14
"n","cover+n",0.682908104700472,14,1.31437384300695,12
"n","cow+n",0.701148680237809,281,0.755945161277743,279
"n","cracker+n",0.805913832836146,32,0.447062054333788,32
"n","crayon+n",0,148,0,148
"n","crib+n",0,5,0,5
"n","cup+n",0.712926674533048,205,0.618713101992275,203
"n","cut+n",1.5376626514385,17,1.22151067322281,23
"n","daddy+n",0,303,0,303
"n","dance+n",0.119246926396245,39,0,36
"n","dark+n",1.15799525926941,28,1.01194942757104,30
"n","day+n",1.67734331499876,163,1.59144978604023,162
"n","deer+n",0,26,0,28
"n","diaper+n",0,36,0,36
"n","dinner+n",0,128,0.0456883890739836,128
"n","dish+n",0.348832095843032,9,0,9
"n","doctor+n",0.581115838031403,112,0.701801876120592,112
"n","dog+n",0.0228597243679245,292,0,292
"n","doll+n",0,148,0.071584833692919,148
"n","donkey+n",0,40,0,40
"n","donut+n",0,11,0,11
"n","door+n",0.166683463778807,202,0.26716883463759,203
"n","drawer+n",0,11,0.474139313057837,11
"n","dress+n",0.304636097349238,44,0.509458555540188,41
"n","drive+n",0.612869452461949,20,0.587500931106207,20
"n","drop+n",1.31078367809971,9,1.08889997534522,10
"n","dryer+n",0,1,0,1
"n","duck+n",0.0404988260852351,296,0.0863848689442928,293
"n","dump+n",0.257318640543832,14,0.450561208866305,12
"n","ear+n",0.692364953533216,177,0.693003536796018,177
"n","egg+n",0.692900246653578,315,0.682635923042558,304
"n","elephant+n",0,223,0,229
"n","eye+n",0,229,0.238360280390533,227
"n","face+n",1.00617419038301,135,1.11887179409251,132
"n","fall+n",0.469932269202976,67,1.10313476331513,64
"n","farm+n",0,155,0,150
"n","fast+n",NA,0,0,1
"n","feed+n",0,4,0,1
"n","finger+n",0.113938881063021,124,0.168967974940178,124
